"序號","分類","字母","級別","單字或片語","詞性","中文釋義","中文釋義原文","考題出現次數","來源"
"1","國中會考英文常用2000字詞","A","基本1200","a","冠詞","一個;一種","[冠詞] 一個;一種","548","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"2","國中會考英文常用2000字詞","A","基本1200","a few","片語","一些","[片語] 一些","16","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"3","國中會考英文常用2000字詞","A","基本1200","a little","片語","一點點","[片語] 一點點","24","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"4","國中會考英文常用2000字詞","A","基本1200","a lot","片語","很多","[片語] 很多","76","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"5","國中會考英文常用2000字詞","A","基本1200","A.M.","副詞","上午","[副詞] 上午","17","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"6","國中會考英文常用2000字詞","A","基本1200","able","形容詞","能;有能力的","[形容詞] 能;有能力的","16","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"7","國中會考英文常用2000字詞","A","基本1200","about","副詞 / 介系詞","在四周;在附近;大約; 大約;關於","[副詞] 在四周;在附近;大約; [介系詞] 大約;關於","230","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"8","國中會考英文常用2000字詞","A","基本1200","above","形容詞 / 副詞 / 介系詞","上文的,前述的; 在上面;在上文;更高; 在…之上","[形容詞] 上文的,前述的; [副詞] 在上面;在上文;更高; [介系詞] 在…之上","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"9","國中會考英文常用2000字詞","A","基本1200","abroad","副詞","在國外","[副詞] 在國外","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"10","國中會考英文常用2000字詞","A","常用800","absent","形容詞 / 動詞","缺席的,不在場的; 缺席","[形容詞] 缺席的,不在場的; [動詞] 缺席","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"11","國中會考英文常用2000字詞","A","常用800","accept","動詞","接受","[動詞] 接受","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"12","國中會考英文常用2000字詞","A","常用800","accident","名詞","事故;災禍","[名詞] 事故;災禍","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"13","國中會考英文常用2000字詞","A","基本1200","across","副詞 / 介系詞","橫過;寬;在對面;向對面; 橫越;穿過","[副詞] 橫過;寬;在對面;向對面; [介系詞] 橫越;穿過","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"14","國中會考英文常用2000字詞","A","基本1200","act","動詞 / 名詞","扮演; 行動,法案","[動詞] 扮演; [名詞] 行動,法案","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"15","國中會考英文常用2000字詞","A","基本1200","action","名詞","動作","[名詞] 動作","7","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"16","國中會考英文常用2000字詞","A","常用800","active","形容詞","活躍的","[形容詞] 活躍的","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"17","國中會考英文常用2000字詞","A","常用800","activity","名詞","活動","[名詞] 活動","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"18","國中會考英文常用2000字詞","A","基本1200","actor","名詞","男演員","[名詞] 男演員","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"19","國中會考英文常用2000字詞","A","基本1200","actress","名詞","女演員","[名詞] 女演員","2","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"20","國中會考英文常用2000字詞","A","基本1200","actually","副詞","實際上","[副詞] 實際上","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"21","國中會考英文常用2000字詞","A","常用800","add","動詞","添加","[動詞] 添加","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"22","國中會考英文常用2000字詞","A","常用800","address","動詞 / 名詞","寫上收件人姓名地址;向...致詞; 地址; 演說","[動詞] 寫上收件人姓名地址;向...致詞; [名詞] 地址; 演說","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"23","國中會考英文常用2000字詞","A","常用800","admire","動詞","欽佩;欣賞","[動詞] 欽佩;欣賞","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"24","國中會考英文常用2000字詞","A","常用800","adult","形容詞 / 名詞","成年的;成熟的;色情的; 成年人","[形容詞] 成年的;成熟的;色情的; [名詞] 成年人","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"25","國中會考英文常用2000字詞","A","常用800","advertisement","名詞","廣告","[名詞] 廣告","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"26","國中會考英文常用2000字詞","A","常用800","advice","名詞","忠告","[名詞] 忠告","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"27","國中會考英文常用2000字詞","A","常用800","advise","動詞","勸告","[動詞] 勸告","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"28","國中會考英文常用2000字詞","A","常用800","affect","動詞","影響；感染；打動","[動詞] 影響；感染；打動","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"29","國中會考英文常用2000字詞","A","基本1200","afraid","形容詞","害怕","[形容詞] 害怕","28","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"30","國中會考英文常用2000字詞","A","基本1200","after","副詞 / 介系詞 / 連接詞","以後,之後;在後面,隨後; 在…之後; 在...之後","[副詞] 以後,之後;在後面,隨後; [介系詞] 在…之後; [連接詞] 在...之後","114","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
"31","國中會考英文常用2000字詞","A","基本1200","afternoon","名詞","下午;午後","[名詞] 下午;午後","28","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=2"
