"序號","分類","字母","單字","詞性","音標","中文解釋","來源"
"1","英檢初級 GEPT Elementary","A","a","冠詞","[ə]","一（個）","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"2","英檢初級 GEPT Elementary","A","A.M.","名詞","[ˌeɪˈɛm]","上午","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"3","英檢初級 GEPT Elementary","A","ability","名詞","[əˈbɪl.ə.ti]","能力","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"4","英檢初級 GEPT Elementary","A","able","形容詞","[ˈeɪ.bəl]","能夠","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"5","英檢初級 GEPT Elementary","A","about","介系詞","[əˈbaʊt]","關於","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"6","英檢初級 GEPT Elementary","A","above","形容詞","[əˈbʌv]","上述的","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"7","英檢初級 GEPT Elementary","A","above","介系詞","[əˈbʌv]","在…之上","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"8","英檢初級 GEPT Elementary","A","abroad","副詞","[əˈbrɔd]","在國外","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"9","英檢初級 GEPT Elementary","A","absent","形容詞","[ˈæb.sənt]","缺席的","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"10","英檢初級 GEPT Elementary","A","accept","動詞","[əkˈsɛpt]","接受","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"11","英檢初級 GEPT Elementary","A","accident","名詞","[ˈæk.sɪ.dənt]","事故","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"12","英檢初級 GEPT Elementary","A","achieve","動詞","[əˈtʃiv]","達成","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"13","英檢初級 GEPT Elementary","A","across","介系詞","[əˈkrɔs]","穿過","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"14","英檢初級 GEPT Elementary","A","across","副詞","[əˈkrɔs]","在對面","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"15","英檢初級 GEPT Elementary","A","act","動詞","[ækt]","行動","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"16","英檢初級 GEPT Elementary","A","act","名詞","[ækt]","行為","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"17","英檢初級 GEPT Elementary","A","action","名詞","[ˈæk.ʃən]","行動","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"18","英檢初級 GEPT Elementary","A","active","形容詞","[ˈæk.tɪv]","活躍的","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"19","英檢初級 GEPT Elementary","A","activity","名詞","[ækˈtɪv.ə.ti]","活動","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"20","英檢初級 GEPT Elementary","A","actor","名詞","[ˈæk.tɚ]","男演員","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"21","英檢初級 GEPT Elementary","A","actress","名詞","[ˈæk.trɪs]","女演員","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"22","英檢初級 GEPT Elementary","A","actually","副詞","[ˈæk.tʃu.ə.li]","實際上","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"23","英檢初級 GEPT Elementary","A","add","動詞","[æd]","增加","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"24","英檢初級 GEPT Elementary","A","addition","名詞","[əˈdɪʃ.ən]","加法，附加物","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"25","英檢初級 GEPT Elementary","A","address","名詞","[ˈæd.res]","地址","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"26","英檢初級 GEPT Elementary","A","admire","動詞","[ədˈmaɪr]","欣賞，仰慕","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"27","英檢初級 GEPT Elementary","A","admit","動詞","[ədˈmɪt]","承認","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"28","英檢初級 GEPT Elementary","A","adopt","動詞","[əˈdɑpt]","收養，採用","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"29","英檢初級 GEPT Elementary","A","adult","名詞","[əˈdʌlt]","成人","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"30","英檢初級 GEPT Elementary","A","advance","動詞","[ədˈvæns]","前進，進步","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"31","英檢初級 GEPT Elementary","A","advance","形容詞","[ədˈvæns]","事先的","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"32","英檢初級 GEPT Elementary","A","advance","名詞","[ədˈvæns]","前進，進步","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"33","英檢初級 GEPT Elementary","A","advantage","名詞","[ədˈvæn.tɪdʒ]","優勢","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"34","英檢初級 GEPT Elementary","A","adventure","名詞","[ədˈvɛn.tʃɚ]","冒險","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"35","英檢初級 GEPT Elementary","A","advertisement","名詞","[ˌæd.vɚˈtaɪz.mənt]","廣告","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"36","英檢初級 GEPT Elementary","A","advice","名詞","[ədˈvaɪs]","建議","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"37","英檢初級 GEPT Elementary","A","advise","動詞","[ədˈvaɪz]","建議","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"38","英檢初級 GEPT Elementary","A","affair","名詞","[əˈfɛr]","事件，事務","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"39","英檢初級 GEPT Elementary","A","affect","動詞","[əˈfɛkt]","影響","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"40","英檢初級 GEPT Elementary","A","afraid","形容詞","[əˈfreɪd]","害怕的","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"41","英檢初級 GEPT Elementary","A","after","介系詞","[ˈæf.tɚ]","在…之後","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"42","英檢初級 GEPT Elementary","A","afternoon","名詞","[ˌæf.tɚˈnun]","下午","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"43","英檢初級 GEPT Elementary","A","again","副詞","[əˈɡɛn]","再次","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"44","英檢初級 GEPT Elementary","A","against","介系詞","[əˈɡɛnst]","反對，對抗","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"45","英檢初級 GEPT Elementary","A","age","動詞","[eɪdʒ]","變老","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"46","英檢初級 GEPT Elementary","A","age","名詞","[eɪdʒ]","年齡","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"47","英檢初級 GEPT Elementary","A","ago","副詞","[əˈɡoʊ]","以前","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"48","英檢初級 GEPT Elementary","A","agree","動詞","[əˈɡri]","同意","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"49","英檢初級 GEPT Elementary","A","ahead","副詞","[əˈhɛd]","在前面","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
"50","英檢初級 GEPT Elementary","A","aid","名詞","[eɪd]","幫助，援助","https://boroenglish.com/gept-vocabulary-elementary-a-z/"
