"序號","分類","字母","級數","級數代碼","單字或片語","詞性","中文釋義","註解","學術字彙","來源"
"1","英檢中級 GEPT Intermediate","A","初級","E","a","art.","一（個）","後接母音開頭之字時為 an","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"2","英檢中級 GEPT Intermediate","A","初級","E","A.M.","adv.","上午","= a.m. = AM","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"3","英檢中級 GEPT Intermediate","A","中級","I","abandon","noun","盡情、放縱","","L8","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"4","英檢中級 GEPT Intermediate","A","中級","I","abandon","verb","拋棄、捨棄、中止","","L8","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"5","英檢中級 GEPT Intermediate","A","初級","E","ability","noun","能力、才能","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"6","英檢中級 GEPT Intermediate","A","初級","E","able","adj.","能夠的、有才能的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"7","英檢中級 GEPT Intermediate","A","中級","I","abnormal","adj.","不正常的","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"8","英檢中級 GEPT Intermediate","A","中級","I","aboard","prep./adv.","在（交通工具）上","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"9","英檢中級 GEPT Intermediate","A","初級","E","about","prep./adv.","大約、關於；大約、幾乎、在周圍","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"10","英檢中級 GEPT Intermediate","A","初級","E","above","prep./adv.","在…上面、超過、大於","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"11","英檢中級 GEPT Intermediate","A","初級","E","above","adv./adj.","上文、前文；前文述及的、上述的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"12","英檢中級 GEPT Intermediate","A","初級","E","abroad","adv.","在國外、到國外","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"13","英檢中級 GEPT Intermediate","A","中級","I","absence","noun","缺席、不在場","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"14","英檢中級 GEPT Intermediate","A","初級","E","absent","adj.","缺席的、不在場的、心不在焉的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"15","英檢中級 GEPT Intermediate","A","中級","I","absolute","adj./noun","完全的、絕對的；絕對","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"16","英檢中級 GEPT Intermediate","A","中級","I","absorb","verb","吸收、併入","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"17","英檢中級 GEPT Intermediate","A","中級","I","abstract","noun","摘要","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"18","英檢中級 GEPT Intermediate","A","中級","I","abstract","adj.","抽象的","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"19","英檢中級 GEPT Intermediate","A","中級","I","abuse","noun/verb","濫用、虐待","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"20","英檢中級 GEPT Intermediate","A","中級","I","academic","adj.","學術的、學業的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"21","英檢中級 GEPT Intermediate","A","中級","I","academy","noun","學院、學會","","L5","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"22","英檢中級 GEPT Intermediate","A","中級","I","accent","noun","口音、腔調","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"23","英檢中級 GEPT Intermediate","A","初級","E","accept","verb","收受、接受（提議、邀請）、同意、接納","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"24","英檢中級 GEPT Intermediate","A","中級","I","acceptable","adj.","可接受的、認可的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"25","英檢中級 GEPT Intermediate","A","中級","I","acceptance","noun","接受、認可","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"26","英檢中級 GEPT Intermediate","A","中級","I","accepted","adj.","公認的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"27","英檢中級 GEPT Intermediate","A","中級","I","access","noun/verb","通道、進入（的權利）；存取、到達、進入","","L4","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"28","英檢中級 GEPT Intermediate","A","初級","E","accident","noun","意外事故","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"29","英檢中級 GEPT Intermediate","A","中級","I","accidental","adj.","意外的、偶然的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"30","英檢中級 GEPT Intermediate","A","中級","I","accommodate","verb","容納","","L9","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"31","英檢中級 GEPT Intermediate","A","中級","I","accommodation","noun","住宿、停留處","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"32","英檢中級 GEPT Intermediate","A","中級","I","accompany","verb","陪同、伴隨","","L8","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"33","英檢中級 GEPT Intermediate","A","中級","I","accomplish","verb","完成","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"34","英檢中級 GEPT Intermediate","A","中級","I","accord","verb","贈予、授予、（與...）一致","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"35","英檢中級 GEPT Intermediate","A","中級","I","accord","noun","協議、條約","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"36","英檢中級 GEPT Intermediate","A","中級","I","account","noun","帳戶、帳號、敘述","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"37","英檢中級 GEPT Intermediate","A","中級","I","account","verb","視為、解釋、（數量或比例上）佔","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"38","英檢中級 GEPT Intermediate","A","中級","I","accountant","noun","會計師","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
"39","英檢中級 GEPT Intermediate","A","中級","I","accuracy","noun","準確（度）","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/3aabace9334a55ba12259037879fcc2d"
