"序號","分類","學測範圍標記","字母","級別","單字或片語","詞性","中文釋義","中文釋義原文","考題出現次數","來源"
"1","高中英文參考詞彙表","學測核心參考","A","第一級","a","冠詞","一個;一種","[冠詞] 一個;一種","617","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"2","高中英文參考詞彙表","學測核心參考","A","第一級","A.M.","副詞","上午","[副詞] 上午","17","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"3","高中英文參考詞彙表","學測核心參考","A","第四級","abandon","動詞","放棄","[動詞] 放棄","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"4","高中英文參考詞彙表","進階/分科參考","A","第六級","abbreviate","動詞","縮寫","[動詞] 縮寫","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"5","高中英文參考詞彙表","進階/分科參考","A","第六級","abide","動詞","忍受;等候","[動詞] 忍受;等候","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"6","高中英文參考詞彙表","學測核心參考","A","第一級","ability","名詞","能力;專門技能","[名詞] 能力;專門技能","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"7","高中英文參考詞彙表","學測核心參考","A","第一級","able","形容詞","能;有能力的","[形容詞] 能;有能力的","16","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"8","高中英文參考詞彙表","進階/分科參考","A","第五級","abnormal","形容詞","不正常的","[形容詞] 不正常的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"9","高中英文參考詞彙表","學測核心參考","A","第三級","aboard","副詞 / 介系詞","在船(或飛機;車)上;上船(或飛機;車); 上(船,飛機,車);在(船,飛機,車)上","[副詞] 在船(或飛機;車)上;上船(或飛機;車); [介系詞] 上(船,飛機,車);在(船,飛機,車)上","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"10","高中英文參考詞彙表","進階/分科參考","A","第五級","abolish","動詞","廢除;廢止","[動詞] 廢除;廢止","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"11","高中英文參考詞彙表","進階/分科參考","A","第六級","aboriginal","形容詞 / 名詞","土著的;土著居民的; 土著居民; 土生動物(或植物)","[形容詞] 土著的;土著居民的; [名詞] 土著居民; 土生動物(或植物)","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"12","高中英文參考詞彙表","進階/分科參考","A","第五級","abortion","名詞","墮胎","[名詞] 墮胎","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"13","高中英文參考詞彙表","進階/分科參考","A","第六級","abound","動詞","大量存在;富足;充滿","[動詞] 大量存在;富足;充滿","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"14","高中英文參考詞彙表","學測核心參考","A","第一級","about","副詞 / 介系詞","在四周;在附近;大約; 大約;關於","[副詞] 在四周;在附近;大約; [介系詞] 大約;關於","246","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"15","高中英文參考詞彙表","學測核心參考","A","第一級","above","形容詞 / 副詞 / 介系詞","上文的,前述的; 在上面;在上文;更高; 在…之上","[形容詞] 上文的,前述的; [副詞] 在上面;在上文;更高; [介系詞] 在…之上","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"16","高中英文參考詞彙表","學測核心參考","A","第一級","abroad","副詞","在國外","[副詞] 在國外","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"17","高中英文參考詞彙表","進階/分科參考","A","第五級","abrupt","形容詞","突然的;意外的","[形容詞] 突然的;意外的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"18","高中英文參考詞彙表","學測核心參考","A","第二級","absence","名詞","缺席","[名詞] 缺席","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"19","高中英文參考詞彙表","學測核心參考","A","第二級","absent","形容詞 / 動詞","缺席的,不在場的; 缺席","[形容詞] 缺席的,不在場的; [動詞] 缺席","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"20","高中英文參考詞彙表","學測核心參考","A","第四級","absolute","形容詞","絕對的;完全的","[形容詞] 絕對的;完全的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"21","高中英文參考詞彙表","學測核心參考","A","第四級","absorb","動詞","吸收(液體,氣體,光,聲等)","[動詞] 吸收(液體,氣體,光,聲等)","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"22","高中英文參考詞彙表","學測核心參考","A","第四級","abstract","形容詞","抽象的","[形容詞] 抽象的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"23","高中英文參考詞彙表","進階/分科參考","A","第六級","abstraction","名詞","抽象","[名詞] 抽象","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"24","高中英文參考詞彙表","進階/分科參考","A","第五級","absurd","形容詞","荒謬的;愚蠢的","[形容詞] 荒謬的;愚蠢的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"25","高中英文參考詞彙表","進階/分科參考","A","第六級","abundance","名詞","豐富;充足","[名詞] 豐富;充足","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"26","高中英文參考詞彙表","進階/分科參考","A","第五級","abundant","形容詞","大量的;充足的; 豐富的","[形容詞] 大量的;充足的; 豐富的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"27","高中英文參考詞彙表","進階/分科參考","A","第五級","abuse","動詞 / 名詞","濫用;虐待; 濫用;虐待","[動詞] 濫用;虐待; [名詞] 濫用;虐待","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"28","高中英文參考詞彙表","學測核心參考","A","第四級","academic","形容詞","學術的","[形容詞] 學術的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"29","高中英文參考詞彙表","進階/分科參考","A","第六級","academy","名詞","學院;大學;研究院","[名詞] 學院;大學;研究院","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"30","高中英文參考詞彙表","進階/分科參考","A","第五級","accelerate","動詞","加快;增長","[動詞] 加快;增長","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"31","高中英文參考詞彙表","學測核心參考","A","第四級","accent","名詞","重音;腔調","[名詞] 重音;腔調","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"32","高中英文參考詞彙表","學測核心參考","A","第二級","accept","動詞","接受","[動詞] 接受","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"33","高中英文參考詞彙表","學測核心參考","A","第三級","acceptable","形容詞","可以接受的;令人滿意的","[形容詞] 可以接受的;令人滿意的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"34","高中英文參考詞彙表","學測核心參考","A","第四級","acceptance","名詞","接受;領受;(票據等的)承兌,認付","[名詞] 接受;領受;(票據等的)承兌,認付","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"35","高中英文參考詞彙表","學測核心參考","A","第四級","access","動詞 / 名詞","取出(資料);使用;接近; 通道;入口;門路","[動詞] 取出(資料);使用;接近; [名詞] 通道;入口;門路","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"36","高中英文參考詞彙表","進階/分科參考","A","第五級","accessible","形容詞","可(或易)接近的;可(或易)得到的","[形容詞] 可(或易)接近的;可(或易)得到的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"37","高中英文參考詞彙表","進階/分科參考","A","第六級","accessory","形容詞 / 名詞","附加的;附屬的; 附件;配件;從犯","[形容詞] 附加的;附屬的; [名詞] 附件;配件;從犯","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"38","高中英文參考詞彙表","學測核心參考","A","第二級","accident","名詞","事故;災禍","[名詞] 事故;災禍","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"39","高中英文參考詞彙表","學測核心參考","A","第四級","accidental","形容詞","偶然的;意外的","[形容詞] 偶然的;意外的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"40","高中英文參考詞彙表","進階/分科參考","A","第六級","acclaim","動詞 / 名詞","為...喝采;稱讚; 歡呼;讚賞","[動詞] 為...喝采;稱讚; [名詞] 歡呼;讚賞","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"41","高中英文參考詞彙表","進階/分科參考","A","第五級","accommodate","動詞","能容納;能提供...膳宿;給...方便","[動詞] 能容納;能提供...膳宿;給...方便","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"42","高中英文參考詞彙表","進階/分科參考","A","第五級","accommodation","名詞","適應;方便設施;住處","[名詞] 適應;方便設施;住處","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"43","高中英文參考詞彙表","學測核心參考","A","第四級","accompany","動詞","陪同;伴隨","[動詞] 陪同;伴隨","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
"44","高中英文參考詞彙表","學測核心參考","A","第四級","accomplish","動詞","完成;實現;達到","[動詞] 完成;實現;達到","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=A&MainCategoryID=25"
