序號,分類,字母,單字或片語,詞性縮寫,詞性,中文含義,來源
1,TOEFL 托福高頻詞彙 1-1000,A,abandon,vt. / n.,及物動詞 / 名詞,抛弃;放弃；放纵;沉溺,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
2,TOEFL 托福高頻詞彙 1-1000,A,abandoned,adj.,形容詞,"被抛弃的,废置的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
3,TOEFL 托福高頻詞彙 1-1000,A,abandonment,n.,名詞,抛弃;放弃,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
4,TOEFL 托福高頻詞彙 1-1000,A,abbreviate,vt.,及物動詞,缩短;缩写,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
5,TOEFL 托福高頻詞彙 1-1000,A,abbreviation,n.,名詞,缩写;缩写词,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
6,TOEFL 托福高頻詞彙 1-1000,A,abide,vi. / vt.,不及物動詞 / 及物動詞,遵守；忍受,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
7,TOEFL 托福高頻詞彙 1-1000,A,abiding,adj.,形容詞,持久的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
8,TOEFL 托福高頻詞彙 1-1000,A,ability,n.,名詞,"能力,才干",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
9,TOEFL 托福高頻詞彙 1-1000,I,inability,n.,名詞,"无能,无力",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
10,TOEFL 托福高頻詞彙 1-1000,C,capability,n.,名詞,"能力,性能,容量",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
11,TOEFL 托福高頻詞彙 1-1000,V,viability,n.,名詞,生存能力;可行行性,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
12,TOEFL 托福高頻詞彙 1-1000,V,variability,n.,名詞,可变性,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
13,TOEFL 托福高頻詞彙 1-1000,A,ablaze,adj.,形容詞,"着火的,燃烧的;闪耀的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
14,TOEFL 托福高頻詞彙 1-1000,B,blazing,adj.,形容詞,"炽烧的,闪耀的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
15,TOEFL 托福高頻詞彙 1-1000,A,abnormal,adj.,形容詞,"反常的,异常的;变态的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
16,TOEFL 托福高頻詞彙 1-1000,N,normal,adj.,形容詞,"正常的,正规的,标准的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
17,TOEFL 托福高頻詞彙 1-1000,A,abolish,vt.,及物動詞,"废除,取消",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
18,TOEFL 托福高頻詞彙 1-1000,A,abolition,n.,名詞,"废除,取消",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
19,TOEFL 托福高頻詞彙 1-1000,A,abolitionist,n.,名詞,废奴主义者,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
20,TOEFL 托福高頻詞彙 1-1000,A,abort,n.,名詞,中止计划(任务),https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
21,TOEFL 托福高頻詞彙 1-1000,A,abound,vi.,不及物動詞,充满;富于,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
22,TOEFL 托福高頻詞彙 1-1000,A,abrasion,n.,名詞,磨(擦)破;表面磨损,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
23,TOEFL 托福高頻詞彙 1-1000,A,abrasive,adj.,形容詞,研磨的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
24,TOEFL 托福高頻詞彙 1-1000,A,abrupt,adj.,形容詞,"突然的,意外的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
25,TOEFL 托福高頻詞彙 1-1000,A,absenteeism,n.,名詞,旷课;旷工,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
26,TOEFL 托福高頻詞彙 1-1000,A,absentee,n.,名詞,缺席者,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
27,TOEFL 托福高頻詞彙 1-1000,A,absent,adj.,形容詞,"缺少的;不不在的,缺席的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
28,TOEFL 托福高頻詞彙 1-1000,A,absence,n.,名詞,"缺少;不不在,缺席",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
29,TOEFL 托福高頻詞彙 1-1000,A,absolute,adj.,形容詞,完全的;绝对的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
30,TOEFL 托福高頻詞彙 1-1000,A,absolutely,adv.,副詞,完全地;绝对地,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
31,TOEFL 托福高頻詞彙 1-1000,A,absorb,vt.,及物動詞,吸收(液体、知识),https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
32,TOEFL 托福高頻詞彙 1-1000,A,absorption,n.,名詞,吸收,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
33,TOEFL 托福高頻詞彙 1-1000,A,abstract,adj. / n/vt,形容詞 / 名詞 / 及物動詞,"抽象的；摘要,提炼",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
34,TOEFL 托福高頻詞彙 1-1000,A,absurd,adj.,形容詞,"荒谬的,可笑的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
35,TOEFL 托福高頻詞彙 1-1000,A,abundant,adj.,形容詞,"丰富的,充裕的;大大量的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
36,TOEFL 托福高頻詞彙 1-1000,A,abundantly,adv.,副詞,丰富地,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
37,TOEFL 托福高頻詞彙 1-1000,A,abundance,n.,名詞,"丰富,充裕",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
38,TOEFL 托福高頻詞彙 1-1000,A,abuse,vt.,及物動詞,滥用用;虐待,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
39,TOEFL 托福高頻詞彙 1-1000,A,abut,vi.,不及物動詞,"邻接,毗邻",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
40,TOEFL 托福高頻詞彙 1-1000,A,academic,adj.,形容詞,学术的;学院的;理理论的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
41,TOEFL 托福高頻詞彙 1-1000,A,academician,n.,名詞,学会会员;院士;学者,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
